Gene.symbol	GSM1339628	GSM1339629	GSM1339630	GSM1339631	GSM1339632	GSM1339633
YY1	1314	1613.6	1688	1532.2	1533.9	1675.9
JTB	3707.1	2643.2	2914.6	3000.2	3177.1	4102.3
KAT7	764.7	664.8	768.8	632.4	744.2	519
ZNF146	1084.7	739.6	666	920.9	1109	807.1
SART1	287.4	388	310.9	330.5	384	367
ILF2	1335.4	1326.4	1244.9	1416.8	981.7	1425.4
SPAG7	1099.5	1403.4	1365.8	1219.4	1202.9	1263.4
ZPR1	364.7	309.6	290.8	304.4	374.4	406
TAF10	2200.1	2422.7	2403.2	2253.4	2442.9	2469.5
C1D	437.4	410.8	429.7	378	441.7	635.7
NONO	4189	4530.7	4470.6	4704.6	4295.3	4333.1
RHOA	6959	5510.6	7057.8	6112.9	6111.9	6242.8
RNPS1	1370.4	1514.8	1619.9	1375.5	1415.6	1554.5
RPS24	10586	8099.4	8532	8839	7956.8	8542.4
RPL30	11622	11688.4	12054.4	11851.8	10858.9	11483.5
NPM1	4427.6	4409.2	4791.8	4887.5	4737.4	5130.6
HSP90AB1	6093.1	5556.9	6440.2	7225.8	5731.9	6666.4
IK	908	1052.2	1028.1	1380.6	1122.2	1314.3
SNX3	3336.8	3558.8	3079.5	3447.5	3327.7	4059.4
CANX	6228.5	5723.3	6455.6	5700.7	5724.8	5413.8
SART3	358	345.2	407	449.2	440.3	275.7
CNPPD1	586	539	362.9	505.4	287.5	518.8
SMNDC1	748.6	849.8	862.3	857.9	924.4	1074.4
HNRNPM	1808.6	1691.8	1718	1899.1	1762.7	1860
HNRNPD	1379	1056.8	1041.5	1286.5	1092.8	1382.6
RPL14	3595.8	4876.1	4603.7	5522.1	3978.9	5519.9
GUK1	1824.4	1817.3	1832	2457.2	2232.5	2166.5
KXD1	1004.5	1025.5	1101.6	1079.9	980.6	1280.1
OAZ1	7279.5	6858.2	6813.3	5911.6	6459.3	6701
ATP6V0B	1613.2	1657.7	1976.1	1393.8	1607.7	2335
KARS	2726.7	2506.5	2590.5	2567.3	2699.7	2678.9
RPS6	9612.1	8799.1	8988.7	9893.2	8547.4	9857.8
RPS7	6975.4	5842.2	5693.4	7338	6236.7	7570.4
USP22	1212.7	1753	1631.7	1281.3	1488.7	1489.1
C11orf58	3075.5	2911.8	2945.2	3290.8	3162.1	3687.8
TCEB2	2023.5	1973.1	1820.1	1786.6	1711.7	2103.2
COX4I1	3611	2736.8	2902	2919.4	2624	3257.1
TMED2	4353.2	3426.1	3459.5	3764.8	3717.5	4145.3
FNTA	2272.6	2136	2240.8	2260	2332.1	2897.2
RPS25	4468.5	4455.1	4243.2	4360.2	3866.9	4689.6
RPL37	7746	7304.2	7088.8	7030.7	6210.7	7758.3
HINT1	2230.4	1962.4	1797.2	1796.2	2130.2	2398.4
EEF2	4825.9	6890.3	6561.9	7550.7	6209.7	6028
RPS10	12632.8	11717	12562.2	12908.4	12611.4	12931.5
ATP6V0E1	3876.6	3992.1	4503.2	3397.5	3967.1	4552.1
HNRNPK	2545.8	2548.9	2524.8	2510.5	2338.2	2617.8
ANAPC5	1310.1	1338.7	1258.5	1368.9	1189.1	1314.1
HNRNPU	1184.3	1111.8	1269.8	1232.5	1317.6	966.3
EIF3A	1255.9	1551.4	1308.2	1256	1520	1603.2
MSN	5063.8	5631.2	5685.8	4757.2	4193.5	5275.4
ACTN4	1244.1	1620.7	1807.1	1908.7	1496.8	1787.8
APP	1376.3	2100.7	2180.1	1552.9	1368.2	1109.9
PRKAR1A	2252.4	2755.1	2836.4	2088.3	2528.7	2722.2
DSP	160.5	233.2	124.1	403.6	146	137.4
RAD21	902.8	962.3	1087.5	788.2	1031	911.5
WDR1	1869.2	2437.2	2359.6	2862.7	2530	2261.1
NCL	4323.2	3819.6	3407	4007.5	2692.2	4061.1
AP2B1	1246.7	1320.3	1255.7	1239.8	1037.7	905.9
AP2M1	1792.7	2612.6	2650.6	2352.4	1769.5	2294.4
CLTC	6803.7	6275.6	6497.6	5647	6383.9	5694.3
MLEC	623.3	490.5	421	512.5	611.9	480.2
LASP1	1737.2	3018.8	2595.5	2842.2	2564.5	2625.3
SF3B2	1345.1	1114.1	1120.2	1570.9	989.6	1119.1
TMEM59	5752.3	4533.8	4922	4971.8	5256.5	4710.7
CSRP1	2153	2399.2	1913.8	2124.5	2544.8	2437.2
CAP1	3712	3574.2	4064	3530	3407.2	4292.1
PTGES3	4988.9	3850.7	3718	3901.6	3494.7	4214.3
WARS	925.8	839.8	803.5	749.8	588.8	759.5
NDRG1	2290.5	3973.2	2622.1	3109.5	3042.1	2594.9
UBB	10631.4	10884	11486.7	9645.2	11299.1	9560.7
PFN1	4073.7	6091.8	7698.1	4935	5721.9	5020.1
PTPRF	236.9	435.3	338.6	614	289.9	236.6
YWHAZ	3172.5	3535.2	3421.4	2982.2	2780.7	3382
SOD1	5732.6	5803.7	6075.4	5329.5	5618.3	6268.5
HDLBP	1643.2	1599.7	1405.3	1831.3	1381.4	1201.5
MARCKSL1	648.2	552.2	434.6	1184.5	791.4	479.4
GABARAP	7041.1	7064.5	7732.1	6783.9	7215.3	7392.8
NUCB1	1617.2	1669.5	1412.8	1297.2	1202	842.7
GLUL	3203.2	1827.4	2117.2	1676.9	1376.8	3047.9
LDHA	7714.3	8786.1	8509.8	8531.1	8334.6	9280.2
SSR2	3860.1	3128.9	3135.1	3581.1	3594.5	3152.4
P4HB	8106.6	8066.4	7007.6	8265.2	7224.7	5498.4
SLC25A5	3882.7	3284.1	3149.9	3580.8	3879.4	4470.1
PHB	548.9	451.1	592.4	521.6	442.3	758.9
S100A11	6438.3	5913.5	5531.9	5146.3	4267.1	6503.4
CTSA	2646.5	2184.3	2842.3	2252.7	2243.2	1753.7
TOMM20	1571.3	1902.7	1980.9	2069.8	1823.9	2455.5
CD63	10107.4	9816.6	9974.6	8681.7	8950.2	8700.2
DNAJB1	1128.5	1057.3	1034.5	991.7	1499.4	684.3
SPARC	6708.4	5944.9	5884.5	8786.4	5656.9	5325.8
UBE2D3	1281.4	1563	1453.7	1571.1	1758.3	2195.9
XBP1	5433.9	1590.9	1430.7	1138.5	1851.5	1431.6
SPTBN1	567.9	1305.9	1036.3	1149.6	513	671.4
LAPTM4A	6653.3	6081.4	7489.5	5582.4	7124.3	4979.6
RPL32	9852.3	10240.2	10791.5	10302.2	9639.2	10577.4
CD81	8001.3	7040.3	7459.2	7011.2	7872.8	6443.6
UBE2L3	505.7	572.2	522.5	514	524.2	409.6
PTTG1IP	3885.1	3490.2	3400.4	4489.4	4408.3	4054.4
GRN	5611.9	4217.9	5147.6	2640.8	4477	5019.1
HMGB1	1561.3	1670.7	1566.5	1704.7	1777	2078.1
GLO1	1917.3	2402.1	2335.6	2605.9	2757.5	2596.1
SRSF11	115.8	170.6	141.4	201.4	181.4	226.2
SF3B3	628.6	685	587.9	837.3	591.5	490
HSPA9	143.5	160	200.5	155.2	276.8	388.2
YWHAQ	3622.4	5422.1	4359.2	4597.8	4357.6	4679.7
DDX24	1203.7	1514	1558.6	1512.8	1591.6	1517.9
PPP2R1A	1215.3	1216.1	1358.4	1287	1030.6	865.4
GSN	8984	10180.6	11311	9051.7	8850.4	8093.6
HK1	1904.8	1332.5	1430.5	1214.7	1311.4	1523.8
KDELR2	2802.5	2770.6	2880.4	3300.1	2506	2317.9
NPC2	7301.1	7085.6	6684.8	6200.4	6434.4	6750.1
DYNLL1	3423.7	4265.2	4774.6	3728.1	4147.8	4736.2
LITAF	2195.9	2461.5	2188.4	2031.9	2642.1	2292.7
PRKCSH	982.7	1066.5	1102.5	1306.8	789.1	656.3
GOT2	1143	1045	1272.1	1177.1	977.1	1081.2
ACADVL	1631.5	1758.1	1794.1	1563	1985.8	1842.3
SKP1	1440.2	2061.4	2271.5	2053.2	2253	2887.6
MAPRE1	705.4	708.7	657.8	560.6	737	985.6
OS9	4476.6	5410.1	5563	5024.3	4704.8	3741.3
RPL7	12527.7	11726.6	13157.6	11904.4	10469	11155.4
ACTR1A	943.1	1145.7	1284.2	1012.6	820.3	703
CAPRIN1	1920.7	1939.2	2021.2	1869.8	1946.1	1758
PPP1CC	2520	3367.9	3409.2	2428.4	2614.7	2812.1
ACTR2	1711.6	1423.8	1469.9	1656.2	1276	1438.5
PTP4A1	620.8	470.3	438.8	578.4	409.4	536.4
NACA	8314.2	9138.8	9157.8	8452.4	8118.6	9016.1
GPX1	5047.8	4080.6	4419.7	3984.7	3410.8	6363.2
PGK1	1046.3	785.8	935.3	1527.3	972.5	1408.3
SUMO3	1174.2	1289.7	1299	1349.1	1207.7	1312.8
RPS27	10604.5	9988	11504.6	10562.5	10235.3	9774.1
TPP1	5415.4	4738.1	6141.2	3855.2	5724.2	4697.7
GNB1	1517.2	1436.7	1601.6	1623.1	1522.5	1657.7
NUMA1	450.8	675.8	526.8	1045.7	514.5	320.4
FTH1	6968.3	9525.6	10165.2	8598.2	7606.6	10928.4
RAN	904.6	948.4	833.1	887	773.2	1605.1
CAPN1	609.9	597.8	527.3	578.8	460.2	433.4
CALU	986.4	1404.1	1297	1939.9	1493.4	1704.6
NFE2L1	3240.3	3340.5	3404.3	3122.4	2766.3	2593.6
ARL6IP5	3890.5	4606.9	4816.7	3693.8	5704.8	4777
DPYSL2	3411.5	4488.4	5276.4	3756.5	4742.8	4735.1
RPLP1	9270.9	8406	8410	9275.3	7713.6	8777.5
CTNNA1	1444.6	1643.1	1546	1546	1208	1448.2
CTSD	1594.5	1390.8	1663.8	1192.1	1227.9	1685.9
FAM120A	469.7	469.4	536.2	449.6	435.7	573.9
MAT2A	1025.5	1424.8	1519.5	1365	1317.1	1631
LAMC1	1643.6	1527.1	1718.9	1865	1655.7	709.2
PTMA	5331.4	4535.9	5043.1	5712.4	4162.7	4941.5
BZW1	2102.2	1593.3	1640.1	1731.4	1510.5	2632.2
ATF4	3530.3	4247	3391.9	4047.9	4211.3	4818.2
GNAS	6419.4	6689.1	6367.5	8518.7	6138.5	7406.7
RPS15A	8598.9	8131.8	8420.1	8627	8580.2	8842.6
ANXA5	3839.5	5762.3	5836.5	5515.7	5771.6	5882.3
STMN1	325.8	263.7	230.9	225.1	350.3	312.3
LRP1	1500.2	1360.7	1571.3	1399.7	763.7	337.4
PSMB7	1565.5	2196	2040.2	2014.7	1895.2	1915.3
PEA15	2440.8	3045.9	2926.2	2361.8	1581	1416
ECH1	715.5	999.9	917.3	661.9	884.7	934.6
ODC1	1919.7	1024.8	1047.6	1088.1	1091.3	1479.5
IQGAP1	3162	3337.6	3463.7	3944.1	3536.2	3928.5
XRCC6	2837.1	3319	3302.4	3541.4	3590.9	3494
ACO2	1396.4	785.1	673.9	842.3	742.8	1211.7
DAZAP2	5115.6	4590.7	4746.7	4428.1	4842.4	5040.6
SPARCL1	8724.9	8776.8	10430.6	8113.1	8062.1	7451.8
MCL1	542	337.4	407.7	332	368.6	268
ACTB	12894.8	12114.2	12393.2	13803.4	12103.7	11841.6
SARS	2024.7	2206.5	2167	1953.5	2332	2335.5
TMBIM6	5816.1	4943.3	4722.8	4409.5	4452.6	5276.5
LMAN2	725.1	457.1	663.7	504.3	616.2	579.5
HSPD1	2334.5	1845.6	2184.1	1944.7	1963.4	2230
ZYX	1224.3	1546.1	1273.2	1361.6	849.4	896
RPL12	11779.5	11744.6	12215.8	11100.1	11668.4	11674.1
CIRBP	1927.7	1709.9	1577.6	2000.2	1738.5	1950.5
CCT7	976.7	885.5	1001.6	947.8	1025	901.1
PAFAH1B1	970.3	1190.7	1300.2	806.2	1202.7	1042.2
PSME1	3235.6	4056	3022.1	3084.6	3515.8	4106.3
ATP5O	3080.7	3830.7	3006.1	3679.7	3467.5	4648.9
RPS15	10914.5	10262.9	11248	10720.4	9941.5	9885.9
PSMD8	895.3	854.1	941.8	1020.2	950.9	1223.8
LAMP2	930.3	1281.9	1431.5	921.1	950.9	966
TPI1	4310.8	3649.2	4042.3	5184.2	3851.3	4182.1
RPL29	4525	5814.5	6073.1	7323.8	5360.2	6522.7
GSTP1	2105.6	2171	2158.1	2078.8	1703.3	1680.5
HYOU1	2635.3	1977.7	1929.4	1857.9	1456.7	1672.7
SNRPD2	3719.4	3690	3803.4	3255.6	3522.7	4873.1
PLOD1	966.7	779.5	671.4	1134.7	601.7	483.9
ZNF207	3170.9	3137.1	3197.7	2908.7	3238.4	2500.1
PSMD2	1152.7	1232.9	1100.2	1343.1	1411.3	1266.4
SCD	580.2	946	1306.9	364.9	527.8	707.4
RAP1B	3144.9	3378	3400.7	3644.3	3492	4237.6
RPS21	8488.9	7782.2	8500.3	8353.8	7614.5	9143.7
MAP4	79.1	22.4	96.6	114.8	9.9	8.8
BCAP31	1113.8	1434.2	1628	1273.4	1279.2	1456.3
CTSB	7072.2	4876.7	5353.9	4999.3	4645.5	6081.5
EPRS	331.8	209.3	203.7	277.5	244.1	223.9
PRDX6	2370.9	2315.4	2349.4	2411.8	2217.6	2494.2
PPP1CA	1314.3	776.4	1004.7	814.8	877.6	888.9
SARAF	1827.6	1521.5	1754.5	1639.6	2288.1	2184.9
AHCYL1	735.4	1097	869.9	927.6	1096.8	863.6
IST1	1843.5	1826.8	1796	2211.3	1891.9	1992
GNB2	1694	1889.8	1825.8	1945.2	1466.5	1565.4
H2AFZ	1164	982.4	1050.1	1187.1	1377.8	2096.4
NCOR1	1015.9	985	1148	1005.9	1033.6	765.4
FLNA	2893.4	3154.8	2762.5	3057.1	2798.2	1974.2
CNOT1	1643.9	1551.5	1833.1	1577	1834.2	1500.8
DHCR24	387.9	640.3	479.7	377.9	387.6	515.4
RAB11A	3228.9	3102.3	2874.5	3131.6	3427.5	3371.9
PSAP	8327.8	7039.1	8664.6	6895.4	6723.4	6931.3
RNF114	503.2	474.3	535.5	484.5	554.1	583.1
STRAP	2250.1	1941.7	2031	2161.9	2283	2620.2
S100A10	11480.9	12643	13858.8	8589.2	9482.1	11589
CCT8	1693.6	1433.7	1887.9	1406.1	1685.7	1585.9
PSMB1	2927.5	2830.2	2726.7	2665.8	2857.5	3090.5
CCT4	3914.6	3187.9	3880.3	4425	4609	4461.8
EPAS1	3797.8	4412.1	3668.7	5225.6	3712.3	3351.8
DNAJA1	1717.5	1544.2	1974.7	1479.1	2135.7	1883.8
PSMD4	810.3	1038.6	897.9	1314.8	1139.8	1483.2
UQCRC2	1498.6	1288.3	1213.1	1428.5	1310.9	1579.6
CKB	344.7	670.1	899.8	472.2	283.5	280.6
RHOC	2595.1	2678.6	2425.7	4525	2344.9	1720.8
PGAM1	3624.8	3468.1	3253.4	4385.5	3949.2	3683.7
STAT1	3516.6	1977.8	2348	3527.9	2196.3	2621.9
SSR1	1677.9	990.1	837.3	1383.5	1251.3	1377.2
TRA2B	1361	1288.2	1263.3	1162.2	1265.3	1491
FKBP4	213.1	272.3	304.4	178.6	217.4	217.6
HDGF	2577.4	2552.3	2767.5	2399.6	2211.7	2003.7
PALLD	2751.2	3893	2716	3987.9	3804.2	3364.7
MGEA5	902.2	999.8	1082.1	1144.7	751.5	787.3
M6PR	1492.6	601.3	1103.4	847.8	994.3	1122.5
15-Sep	2157.1	2347.2	1905.8	1857.8	2354.7	2182.3
AHCY	605.9	688.3	738.9	633.2	780.8	765.6
HLA-E	3357.2	3415	2840.3	3600.5	3549.6	2728.9
RPLP2	90.6	22.8	100.9	45.9	14.1	9.9
TACC1	4035.2	4736.3	4856	3586.8	5575.8	4907
PPM1G	491.3	614.5	445	501.4	348.3	322.6
KTN1	473.3	508.8	435.6	570	398	675
TAGLN2	1888.2	2662.9	2007.4	2107	3833.1	3499.3
SRPRA	862.1	355.7	483.1	545.6	345.1	251
PHC2	967.8	984.7	1535.3	1202.5	1027.6	998.5
BTG1	3127.1	3235.4	2814.9	1969.7	2618.9	2950.7
KDELR1	1319.3	1201.4	1225.8	1349.5	831.3	720.5
LGALS3BP	2672.9	1635.5	2208.4	1720.4	1836.8	1292.6
SLC3A2	700.7	535.4	698.3	667	558.3	554.5
COX6A1	4973.4	4006.2	3873.1	4163.7	4463.5	5069.4
RPS23	11963.7	13366.3	14216.3	12738.9	11423.2	12584.8
RAB14	1064.7	1070	1170.8	1013.7	1245.5	1203.9
TMED10	3124.9	2507.7	2490.5	2234.4	2816.5	2866.9
VCL	38.4	32.8	57.3	47.5	77.9	76.7
DCTN2	1278.2	1348.5	1405.9	1887.2	1495.9	1586.2
RPS4X	11610.3	11737.3	11558.8	10985.2	10426.2	10272.7
DEK	1245	2129.5	1928.2	1696.8	2063.3	2275
CALR	1679	1015.1	1801.4	1204	754.7	631.6
RPL8	8508.1	9265.9	9217	10600.4	9495.1	9714.3
RERE	14	37.2	37.3	33.5	3.9	4
HSBP1	1154.9	1087.8	1001.6	1098.3	1448.4	2070
HMGN1	2167	1439.9	2114.7	2796.9	3198.7	3411.4
SEC31A	3585.2	3679.6	3641	4388	3394.9	2641.3
GLUD1	1937	2553.9	2281.1	2012.2	2306.7	2020
MLF2	1997.7	2037.1	2522.4	1541.8	1528.2	1476.6
ARPC1A	2025.8	1796.8	1781.6	2077.2	1794	1997.8
CCND2	294	166.1	256	148.9	138.2	217.6
ATP6V0C	1542.3	1197.4	1503.1	1116.8	1116.9	1189.8
IMMT	625.9	830.7	793.1	647.1	917.8	928.5
SSRP1	511.7	697	655.4	638.8	525.5	444.7
SDCBP	6101.4	5128.1	5379.9	5736.8	5751.1	6001.3
FUS	915.4	642.7	722.7	836.5	804.6	701.6
CLTA	4400.7	3785.8	4560.3	4324.4	4047.5	3991.9
SEPHS2	519.1	545.4	598.1	522.6	681.4	756
RPL31	752.2	970.5	323.6	615.5	539.6	756.3
UBA1	3369.4	3393.2	3495.2	2897.6	2476	2046.8
ABLIM1	1693.7	3749	2576.8	2776.4	3067.3	2323.6
ALDOA	5082.2	4498.3	4749.9	5621.6	5066.9	4752.8
PPIB	3501.2	2939.5	3053.9	3669.5	3110.5	2686.8
SERP1	712.5	723.6	589.1	906.7	733.5	1172.2
TSPAN3	3665.8	3853.8	4013.5	3483.9	3252.5	3767.5
ACTA2	4696.7	5869.8	3603.1	4643.1	7336.5	3404
PPT1	3410.9	3382.4	3699.1	2486.9	3690.1	4405.7
TAX1BP1	1860.6	2111.2	2074.1	2262.9	2467.4	2440.9
MDH1	3204.9	4787.2	3396.5	3918.1	3917.9	4297.7
PDHA1	515.5	546.7	468	430.9	395.4	492.8
ANXA6	2506.7	2481.1	2628.7	2862.7	1926.9	1280.6
CD59	8072.4	6364.1	7005.6	6449.4	7198.6	6241.2
SERPING1	3790	5834.8	5897.4	5043.4	6845.2	3440.9
PSME3	721.1	1052.2	935.6	671.5	759.3	846.9
HIF1A	3308.9	3219.3	3197.7	2770.6	3721.5	4074.1
TRIM28	1815.7	1394.4	1454.1	1530	998.9	954.3
SNX17	1054.4	1093.1	1149.7	1002.4	852.3	1012.9
IPO7	1292.8	1446.3	1481.7	1640.5	1207.7	1870
ACTR3	2520.2	1862.7	2041.4	2119	2483.6	2703
CKAP4	2013.7	1671.3	1570.1	1870.7	1439.1	1008.5
AARS	2156.5	1897.4	1709.3	2320.6	1782.8	1482.6
SSR4	7460.2	3890.8	3365.3	2992.9	3538.4	3914.9
CD9	4776	6388.7	6848.7	5576.5	6356.3	4999
PRDX2	108.2	98.3	119.1	78.2	153.7	148.9
HADHB	3094.8	3150	3312.6	3078.6	3258.3	3279.1
TXNIP	3848.6	4924.7	4455.9	7009.8	4393.5	5833.9
RPN1	1402.4	1038.6	981.5	969.7	1025.1	948
ANXA1	6574.4	6943.9	7722.7	5819.2	7049.3	7222.9
PAICS	638.1	645.7	749.9	758.1	814.1	943
JUP	473.7	254.3	390.6	644.1	325	130.9
EIF1AX	710.4	650	809.4	684.1	554.6	850.3
YWHAH	2144.3	1936	2424.3	1717.3	1757.1	2548.7
DSTN	4232.3	5435.1	4423.3	4558.2	6015.8	5934.8
TAF7	1671.2	1619.4	1665.8	1909.1	1765	1717.9
EIF5B	479.3	683.8	857.2	819.2	963.1	1126.1
CD99	5224	5031.5	5547.4	7252.3	4912.1	4405.8
LDHB	3992.1	4206.8	3790.3	4345.9	3889.2	4610.7
HNRNPH1	1667	1472.8	1823.8	1803.7	1484.7	2079.5
BLCAP	1570.5	2336	1882.6	1743.5	1886.7	2163.6
RPLP0	11423.8	11722.6	12552.4	12144.3	10958.9	11440.2
ADD3	3685.7	5167.5	4135.1	3883.7	4635.6	4017.1
HADH	571.6	842	850.7	894.2	863	1165.9
PFKP	1205.6	1550.7	2006.1	1525	2084.9	1444.7
ANP32A	448.2	444.9	510.2	460.4	364.7	492
RAD23A	697	785.5	744.5	620.4	551.9	555
GNAI2	2633.3	2671.7	2843.8	2710.7	1834.9	1805.7
DUSP1	8456	3387.8	5157.9	2551.1	9152	2381.8
TGM2	919.7	589.4	705.9	689.5	972.1	668.3
RPS18	10902.6	10766.4	11286.7	11738.5	10803.5	11098.3
PLD3	2857.4	2390.5	2666.3	1774.8	1867.8	2089.9
PSMF1	805.3	812.6	755.4	949.1	768.2	702.1
HNRNPA0	2194.6	2328.9	2182.9	2557	2218.6	2254.5
GOLGB1	345.2	491.5	494.9	456.2	439.7	465.6
MYL9	2656.5	3741	2496.8	3294.1	3872.4	1981.7
CTTN	1145.2	1285.9	1322.1	1303	1901.1	1252.3
STOM	2097.9	1951.9	1570.9	3324.4	3541.3	4270.3
RCN1	974.2	1030.1	905.9	1768	1028.1	974.4
CYC1	928.4	865.2	977.1	819.4	844	1149.1
PSMC2	933.7	1401.5	1312	1178.8	1260.7	870.1
MMP2	7257.5	7378.9	7386.1	9854.7	7667.2	5045.8
SF3B1	712.2	745.8	817.2	639.8	875.8	914.9
SMARCC1	303.3	215.3	254.5	217.6	209.6	205.2
SNU13	796	878.2	876	769.5	699.1	964
TM9SF2	3876.7	3768	3886.2	3390.4	3641.1	3585.4
SYNGR2	1471.2	1179.7	1064.5	838.3	984	1365.5
PIP4K2B	499	568.6	594.4	699.4	718.8	481
BCLAF1	206.5	163.7	168.1	187.1	159.6	232.4
SON	438.8	485.1	384.2	453.7	357.8	398.2
PXN	772.8	819.7	776.6	725.3	673.3	593.8
KPNA2	617	541.6	672.3	616.6	546.9	912.2
ATP6V1B2	2362.8	2343	2603.1	2350.8	2663.1	2738.7
TUBA1B	10427.2	8702.3	9132	10801.8	7954.3	8581.2
RBBP7	1551.2	1717.1	1660.4	1668	1802.6	1737.9
SDHA	458.2	487.1	631.6	526.1	632.8	430.2
RPS29	11386.9	11183.8	10787.5	10217	10427.8	10734
DAP	1538.6	1287.3	1585.7	1727.3	1362.7	1599.5
ARF4	2243.1	2656.6	2111	3112.5	2592.3	2015.3
COPB2	1443.7	1157	806.4	1327.6	1630.1	1480.6
USP9X	731	634.9	704.8	621.3	786.3	955.8
PFKL	789.6	532.1	643.3	685.3	466.7	482.3
LGALS1	7635.3	8715.5	8616.6	9782.2	8212.9	8331.9
GPX4	3060	3766.5	4089.8	3722	2618.8	4007.5
THBS1	52.2	14.4	16.2	360	12.2	13.1
CSE1L	483.3	475.4	447.4	469.9	416.1	456.5
TUFM	2421	1993.6	1970.7	1444.2	1823.6	1562.8
PSMA7	1380.8	1446.9	1435.3	1334.4	2623.7	4004.2
POLD2	454.6	511.4	447.9	626.6	507.3	353.5
CPE	808.2	3191.6	1595.3	2041.4	1654.2	1479.9
PGD	1423.4	1435.6	1334.7	1340.4	1088.9	1052.9
COX8A	3361.5	3405	2911.8	3244.7	2582.1	4039.9
PGRMC1	1823.2	1841.2	1759.4	1694	1851.5	1594.1
EIF5A	802.6	1021	377.9	737.5	655.4	841.3
ITGB5	594.8	748.9	800.9	759.9	643.4	731.8
MGAT1	1649.9	1645.6	1745.6	1433.9	1776.5	1894.4
ACLY	515.4	504	507.8	429.2	399.3	352.8
SRSF7	656.7	688.8	706.2	888	735.3	1488.6
CDH1	20.7	99.3	70.6	52.2	9.3	64.8
PJA2	2119.5	1652	1972.1	2015.5	1668.2	1690.3
COX7C	4239.7	3128.5	3617.4	4189.8	3610.6	4629.8
ECHS1	1320.3	2097.1	1888.8	1778.4	1666.2	2265.4
